,forecast_date,target,horizon,q0.025,q0.25,q0.5,q0.75,q0.975,actual_forecast_date,Open,High,Low,Close,Volume,Dividends,Stock Splits,ret1,ret2,ret3,ret4,ret5,lag_ret1,lag_ret2,lag_ret3,lag_ret4,lag_ret5,score
4,2023-01-02,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.5530097315396674,6.259934085874841,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.889426689160101
0,2023-01-02,DAX,1 day,-3.3212652715215762,-0.5528467048651731,0.05543222958364069,0.7175342639578197,2.719772003602724,2023-01-03 00:00:00+01:00,14116.0703125,14293.8701171875,14083.759765625,14181.669921875,57907500.0,0.0,0.0,0.7958021257238101,1.836576743767715,0.7783190033297416,1.8221435364251803,1.3243039730349793,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,13995.099609375,1.8341479678398618
1,2023-01-02,DAX,2 day,-4.087894963565497,-0.8411690830140373,0.077741433828038,0.9760606891150214,3.5704923267932855,2023-01-04 00:00:00+01:00,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,0.0,0.0,2.1562323811538775,2.9520345068776876,3.9928091249215925,2.934551384483619,3.978375917579058,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,5.73036858198602
2,2023-01-02,DAX,5 day,-5.259160853138978,-0.926504351003743,0.1355654634089376,1.194919287270979,4.628696965151875,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
3,2023-01-02,DAX,6 day,-6.282628800683585,-1.0556477283270471,0.17866593171165235,1.4269866936728715,5.367396415217598,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
4,2023-01-02,DAX,7 day,-6.735741964137194,-1.0947540177613124,0.3006949985365104,1.5182407631244121,6.259934085874841,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.8990908544636476
0,2023-01-03,DAX,1 day,-3.3212652715215762,-0.551382771440112,0.06096872514413931,0.7208725693882645,2.719772003602724,2023-01-04 00:00:00+01:00,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,0.0,0.0,2.1562323811538775,2.9520345068776876,3.9928091249215925,2.934551384483619,3.978375917579058,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,5.904162813711367
1,2023-01-03,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.0723551404992584,0.9874199247088988,3.5704923267932855,2023-01-05 00:00:00+01:00,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,0.0,0.0,-0.37660731031330386,1.7796250708405736,2.575427196564384,3.6162018146082886,2.557944074170315,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,1.7372166182562851
2,2023-01-03,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.16179836530589853,1.2242848193747768,4.628696965151875,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
3,2023-01-03,DAX,6 day,-6.282628800683585,-1.044070446622447,0.1860695241679977,1.4408152518611494,5.367396415217598,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.8823792459255535
4,2023-01-03,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.573728977838229,6.259934085874841,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,2.43197597674638
0,2023-01-03,DAX,1 day,-3.3212652715215762,-0.5496401384299521,0.057215117886944,0.715600117012638,2.719772003602724,2023-01-04 00:00:00+01:00,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,0.0,0.0,2.1562323811538775,2.9520345068776876,3.9928091249215925,2.934551384483619,3.978375917579058,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,5.914953783026922
1,2023-01-03,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.077741433828038,0.9789771416987225,3.5704923267932855,2023-01-05 00:00:00+01:00,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,0.0,0.0,-0.37660731031330386,1.7796250708405736,2.575427196564384,3.6162018146082886,2.557944074170315,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,1.7383815200799766
2,2023-01-03,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.13929559187957352,1.2095309770987495,4.628696965151875,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
3,2023-01-03,DAX,6 day,-6.282628800683585,-1.044070446622447,0.18515619775909542,1.4357212172448897,5.367396415217598,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.880745555026326
4,2023-01-03,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.5530097315396674,6.259934085874841,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,2.4216163535970994
0,2023-01-03,DAX,1 day,-3.3212652715215762,-0.5528467048651731,0.05543222958364069,0.7175342639578197,2.719772003602724,2023-01-04 00:00:00+01:00,14266.98046875,14492.7802734375,14264.599609375,14490.7802734375,76221600.0,0.0,0.0,2.1562323811538775,2.9520345068776876,3.9928091249215925,2.934551384483619,3.978375917579058,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,13925.599609375,5.915438734130063
1,2023-01-03,DAX,2 day,-4.087894963565497,-0.8411690830140373,0.077741433828038,0.9760606891150214,3.5704923267932855,2023-01-05 00:00:00+01:00,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,0.0,0.0,-0.37660731031330386,1.7796250708405736,2.575427196564384,3.6162018146082886,2.557944074170315,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,1.7458829947238106
2,2023-01-03,DAX,5 day,-5.259160853138978,-0.926504351003743,0.1355654634089376,1.194919287270979,4.628696965151875,2023-01-08 00:00:00+01:00,,,,,,,,,,,,,,,,,,
3,2023-01-03,DAX,6 day,-6.282628800683585,-1.0556477283270471,0.17866593171165235,1.4269866936728715,5.367396415217598,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.88865720014006
4,2023-01-03,DAX,7 day,-6.735741964137194,-1.0947540177613124,0.3006949985365104,1.5182407631244121,6.259934085874841,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,2.3802907389592
0,2023-01-04,DAX,1 day,-3.3212652715215762,-0.551382771440112,0.06096872514413931,0.7208725693882645,2.719772003602724,2023-01-05 00:00:00+01:00,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,0.0,0.0,-0.37660731031330386,1.7796250708405736,2.575427196564384,3.6162018146082886,2.557944074170315,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,1.3757555696278465
1,2023-01-04,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.0723551404992584,0.9874199247088988,3.5704923267932855,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,2.8293686949533465
2,2023-01-04,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.16179836530589853,1.2242848193747768,4.628696965151875,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.685508526807214
3,2023-01-04,DAX,6 day,-6.282628800683585,-1.044070446622447,0.1860695241679977,1.4408152518611494,5.367396415217598,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,2.1343281816840807
4,2023-01-04,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.573728977838229,6.259934085874841,2023-01-11 00:00:00+01:00,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,0.0,0.0,1.166203745702532,1.0428891982233068,2.2863938582800003,3.4824970307555603,3.1058897204422564,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,2.8224853979552202
0,2023-01-04,DAX,1 day,-3.3212652715215762,-0.5496401384299521,0.057215117886944,0.715600117012638,2.719772003602724,2023-01-05 00:00:00+01:00,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,0.0,0.0,-0.37660731031330386,1.7796250708405736,2.575427196564384,3.6162018146082886,2.557944074170315,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,1.368494419677758
1,2023-01-04,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.077741433828038,0.9789771416987225,3.5704923267932855,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,2.8366465761398314
2,2023-01-04,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.13929559187957352,1.2095309770987495,4.628696965151875,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.73014206364758
3,2023-01-04,DAX,6 day,-6.282628800683585,-1.044070446622447,0.18515619775909542,1.4357212172448897,5.367396415217598,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,2.1308678379670485
4,2023-01-04,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.5530097315396674,6.259934085874841,2023-01-11 00:00:00+01:00,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,0.0,0.0,1.166203745702532,1.0428891982233068,2.2863938582800003,3.4824970307555603,3.1058897204422564,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,2.8121257748059394
0,2023-01-04,DAX,1 day,-3.3212652715215762,-0.5528467048651731,0.05543222958364069,0.7175342639578197,2.719772003602724,2023-01-05 00:00:00+01:00,14451.23046875,14501.599609375,14403.73046875,14436.3095703125,60947500.0,0.0,0.0,-0.37660731031330386,1.7796250708405736,2.575427196564384,3.6162018146082886,2.557944074170315,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,14071.7197265625,1.369281888064656
1,2023-01-04,DAX,2 day,-4.087894963565497,-0.8411690830140373,0.077741433828038,0.9760606891150214,3.5704923267932855,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,2.8499809559510676
2,2023-01-04,DAX,5 day,-5.259160853138978,-0.926504351003743,0.1355654634089376,1.194919287270979,4.628696965151875,2023-01-09 00:00:00+01:00,14650.73046875,14832.8896484375,14628.6103515625,14792.830078125,64976500.0,0.0,0.0,1.2435046600566935,2.4396078325322534,2.0630005222189496,4.219232903372827,5.015035029096637,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,2.7602146522710886
3,2023-01-04,DAX,6 day,-6.282628800683585,-1.0556477283270471,0.17866593171165235,1.4269866936728715,5.367396415217598,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,2.1257989509858963
4,2023-01-04,DAX,7 day,-6.735741964137194,-1.0947540177613124,0.3006949985365104,1.5182407631244121,6.259934085874841,2023-01-11 00:00:00+01:00,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,0.0,0.0,1.166203745702532,1.0428891982233068,2.2863938582800003,3.4824970307555603,3.1058897204422564,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,2.821789940109486
0,2023-01-05,DAX,1 day,-3.3212652715215762,-0.551382771440112,0.06096872514413931,0.7208725693882645,2.719772003602724,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,3.023775187676415
1,2023-01-05,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.0723551404992584,0.9874199247088988,3.5704923267932855,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
2,2023-01-05,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.16179836530589853,1.2242848193747768,4.628696965151875,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,1.8504754634777092
3,2023-01-05,DAX,6 day,-6.282628800683585,-1.044070446622447,0.1860695241679977,1.4408152518611494,5.367396415217598,2023-01-11 00:00:00+01:00,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,0.0,0.0,1.166203745702532,1.0428891982233068,2.2863938582800003,3.4824970307555603,3.1058897204422564,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,2.805078331571392
4,2023-01-05,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.573728977838229,6.259934085874841,2023-01-12 00:00:00+01:00,14972.2802734375,15095.0302734375,14934.509765625,15058.2998046875,65971500.0,0.0,0.0,0.7357820037865892,1.9019857494891212,1.778671202009896,3.0221758620665895,4.2182790345421495,14947.91015625,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,2.3920636560392774
0,2023-01-05,DAX,1 day,-3.3212652715215762,-0.5496401384299521,0.057215117886944,0.715600117012638,2.719772003602724,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,3.03456615699197
1,2023-01-05,DAX,2 day,-4.087894963565497,-0.8232496811426682,0.077741433828038,0.9789771416987225,3.5704923267932855,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
2,2023-01-05,DAX,5 day,-5.259160853138978,-0.9176545001813086,0.13929559187957352,1.2095309770987495,4.628696965151875,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,1.8205957689133705
3,2023-01-05,DAX,6 day,-6.282628800683585,-1.044070446622447,0.18515619775909542,1.4357212172448897,5.367396415217598,2023-01-11 00:00:00+01:00,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,0.0,0.0,1.166203745702532,1.0428891982233068,2.2863938582800003,3.4824970307555603,3.1058897204422564,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,2.8034446406721645
4,2023-01-05,DAX,7 day,-6.735741964137194,-1.0916464986804097,0.3261898885072334,1.5530097315396674,6.259934085874841,2023-01-12 00:00:00+01:00,14972.2802734375,15095.0302734375,14934.509765625,15058.2998046875,65971500.0,0.0,0.0,0.7357820037865892,1.9019857494891212,1.778671202009896,3.0221758620665895,4.2182790345421495,14947.91015625,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,2.3817040328899965
0,2023-01-05,DAX,1 day,-3.3212652715215762,-0.5528467048651731,0.05543222958364069,0.7175342639578197,2.719772003602724,2023-01-06 00:00:00+01:00,14476.7197265625,14610.23046875,14388.98046875,14610.01953125,55433700.0,0.0,0.0,1.19610317247556,0.8194958621622561,2.9757282433161336,3.7715303690399438,4.812304987083849,14436.3095703125,14490.7802734375,14181.669921875,14069.259765625,13923.58984375,3.0350511080951112
1,2023-01-05,DAX,2 day,-4.087894963565497,-0.8411690830140373,0.077741433828038,0.9760606891150214,3.5704923267932855,2023-01-07 00:00:00+01:00,,,,,,,,,,,,,,,,,,
2,2023-01-05,DAX,5 day,-5.259160853138978,-0.926504351003743,0.1355654634089376,1.194919287270979,4.628696965151875,2023-01-10 00:00:00+01:00,14741.9697265625,14790.8203125,14692.740234375,14774.599609375,57438600.0,0.0,0.0,-0.12331454747922521,1.1201901125774683,2.3162932850530282,1.9396859747397244,4.095918355893602,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,14181.669921875,1.8139847209400666
3,2023-01-05,DAX,6 day,-6.282628800683585,-1.0556477283270471,0.17866593171165235,1.4269866936728715,5.367396415217598,2023-01-11 00:00:00+01:00,14805.400390625,14965.4697265625,14794.990234375,14947.91015625,66367800.0,0.0,0.0,1.166203745702532,1.0428891982233068,2.2863938582800003,3.4824970307555603,3.1058897204422564,14774.599609375,14792.830078125,14610.01953125,14436.3095703125,14490.7802734375,2.8113562857858985
